New outlets created:
Row 1: URN=DCP/25/LO/002324, Name=ALL FOR GOD, Region=LO/OGUN
Row 2: URN=DCP/24/LO/002061, Name=OLASUNKANMI STORES, Region=LO/OGUN
Row 3: URN=DCP/24/LO/00274, Name=EMMATUNS NIG LTD, Region=LO/OGUN
Row 4: URN=DCP/25/LO/002405, Name=AROGUNDADE CEMENT, Region=LO/OGUN
Row 5: URN=DCP/25/LO/002473, Name=ALHAJA ADEWUNMI SAIDAT CEMENT, Region=LO/OGUN
Row 6: URN=DCP/25/LO/002741, Name=ISTEE JABAH MOSEBOLATAN ENTERPRISE, Region=LO/OGUN
Row 7: URN=DCP/25/LO/002607, Name=LNAFERM VENTURES, Region=LO/OGUN
Row 8: URN=DCP/25/LO/002844, Name=MM CEMENT, Region=LO/OGUN
Row 9: URN=DCP/25/LO/005394, Name=ALHAJI LAWAL CEMENT, Region=LO/OGUN
Row 10: URN=DCP/25/LO/002743, Name=MICHEAL EDOBOY, Region=LO/OGUN
Row 11: URN=DCP/25/LO/002742, Name=ROYAL PREMIUM RESOURCES, Region=LO/OGUN
Row 12: URN=DCP/24/LO/002037, Name=MOSADIFY ENTERPRISE, Region=LO/OGUN
Row 13: URN=DCP/24/LO/001964, Name=OKE AKANJI NIG ENTERPRISE, Region=LO/OGUN
Row 15: URN=DCP/25/LO/004739, Name=DYOUNG DIMARK, Region=LO/OGUN
Row 16: URN=DCP/25/LO/002472, Name=FAKHAYIB GLOBAL, Region=LO/OGUN
Row 17: URN=DCP/25/LO/002717, Name=REGENT DIAMOND, Region=LO/OGUN
Row 19: URN=DCP/25/LO/005459, Name=MUMMY B CEMENT, Region=LO/OGUN
Row 20: URN=DCP/25/LO/005460, Name=IYA EBE CEMENT, Region=LO/OGUN
Row 21: URN=DCP/25/LO/005461, Name=HARYKS WORLD, Region=LO/OGUN
Row 22: URN=DCP/24/LO/002237, Name=ALHAJA ASANDE, Region=LO/OGUN
Row 23: URN=DCP/25/LO/004041, Name=MUMMY TEE, Region=LO/OGUN
Row 24: URN=DCP/25/LO/002603, Name=MRS ADEPOJU, Region=LO/OGUN
Row 25: URN=DCP/19/LO/010158, Name=MRS OWOEYE, Region=LO/OGUN
Row 26: URN=DCP/25/LO/002604, Name=KAMOIL SALAKO CEMENT, Region=LO/OGUN
Row 27: URN=DCP/24/LO/002236, Name=OLA CAPABLE, Region=LO/OGUN
Row 30: URN=DCP/19/LO/010278, Name=TOFUTOBI CEMENT STORE, Region=LO/OGUN
Row 31: URN=DCP/19/LO/002574, Name=ACCORD CEMENT, Region=LO/OGUN
Row 32: URN=DCP/19/LO/002567, Name=IYA AFEEZ CEMENT SHOP, Region=LO/OGUN
Row 33: URN=DCP/25/LO/004052, Name=MADAM QUALITY CEMENT SHOP, Region=LO/OGUN
Row 34: URN=DCP/25/LO/002605, Name=BUHARI CEMENT SHOP, Region=LO/OGUN
Row 35: URN=DCP/25/LO/004053, Name=IYA IJEBU CEMENT SHOP, Region=LO/OGUN
Row 36: URN=DCP/25/LO/002606, Name=AWODELE BLOCK INDUSTRY, Region=LO/OGUN
Row 37: URN=DCP/25/LO/004055, Name=DIVINE MANDATE CEMENT SHOP, Region=LO/OGUN
Row 38: URN=DCP/25/LO/004056, Name=IYA JUWON CEMENT SHOP, Region=LO/OGUN
Row 39: URN=DCP/25/LO/004057, Name=AYOKE CEMENT ENTERPRISE, Region=LO/OGUN
Row 40: URN=DCP/25/LO/004058, Name=IYA SOLA CEMENT SHOP, Region=LO/OGUN
Row 41: URN=DCP/25/LO/004050, Name=ABANISE CEMENT, Region=LO/OGUN
